"","Codigo","Provincia","Municipio","Comarca","Tasainicial","LONGITUD_ETRS89","LATITUD_ETRS89","Indemnizacion","Valor_Prod","VIVO","Ind_VP2"
"221",41098,41,98,3,0.090476786,-6.14127425,37.3956232,739.81,1210.86,1,0.610978973622054
"222",21074,21,74,5,0.074209482,-6.47673384,37.39718433,13120.21,324508.66,7,0.0404310011326046
"223",4096,4,96,2,0.104225897,-2.36518023,37.39750865,2.46,81.92,1,0.030029296875
"224",4061,4,61,2,0.104225897,-2.42494356,37.40081642,2902.44,17258.69,4,0.168172671274587
"225",41021,41,21,2,0.109414708,-6.03455435,37.40147092,10571.24,252378.41,10,0.0418864672299029
"226",41028,41,28,3,0.090476786,-6.0548422,37.40860133,0,2032.81,3,0
"227",14038,14,38,5,0.104089578,-4.48451348,37.40901404,20935.75,532710.23,12,0.0393004466987615
"228",21032,21,32,5,0.074209482,-6.38975689,37.41035142,387992.14,4751393.48,12,0.0816586000787289
"229",18076,18,76,3,0.09448026,-3.17521628,37.41328681,3493.59,119545.26,11,0.0292239943265003
"230",41096,41,96,3,0.090476786,-6.07689896,37.41595233,147013.49,2336478.73,12,0.0629209622635854
"231",41067,41,67,3,0.090476786,-6.15621373,37.4183665,150777.13,1297093.14,11,0.116242330909251
"232",41085,41,85,3,0.090476786,-6.11166812,37.41866404,576569.26,5446184.38,12,0.105866643464612
"233",18096,18,96,4,0.109847079,-3.26048883,37.41944952,598543.58,3009232.72,12,0.198902389975342
"234",21056,21,56,5,0.074209482,-6.40156272,37.42110994,258648.72,2960454.59,12,0.0873679065619446
"235",21011,21,11,5,0.074209482,-6.79288327,37.42630834,7236.54,156124.67,12,0.0463510347211623
"236",41003,41,3,3,0.090476786,-6.16648075,37.42711042,7756.11,31708.6,8,0.244605879792864
"237",18028,18,28,5,0.078121732,-3.68369321,37.42820145,0,1581.18,1,0
"238",41089,41,89,2,0.109414708,-6.03627975,37.43302379,11873.63,127695.82,6,0.0929837014242126
"239",14045,14,45,5,0.104089578,-4.60916325,37.43498961,959.22,10270.85,3,0.093392465083221
"240",18039,18,39,3,0.09448026,-2.72312271,37.43694658,113693.33,948609.71,12,0.119852589322536
"241",14004,14,4,6,0,-4.09001992,37.43947257,0,381.92,1,0
"242",14055,14,55,6,0,-4.191759,37.43981618,0,14338.24,1,0
"243",18159,18,159,5,0.078121732,-3.43947932,37.44235787,117885.4,1520137.22,12,0.0775491833559605
"244",23002,23,2,9,0.05544462,-3.92944941,37.45979131,110275.06,1558164.68,12,0.0707724038514337
"245",41007,41,7,2,0.109414708,-6.01324202,37.46108715,709.35,7436.76,4,0.0953842802510771
"246",41042,41,42,5,0.130840702,-5.34761743,37.46271648,2811204.13,22086855.18,12,0.127279511143152
"247",14013,14,13,5,0.104089578,-4.44656669,37.47101586,0,7041.6,1,0
"248",21065,21,65,2,0.025889388,-7.4667592,37.47240145,0,64.22,1,0
"249",41024,41,24,5,0.130840702,-5.63324752,37.47265463,17909775.79,105771421.81,12,0.169325281664189
"250",14044,14,44,5,0.104089578,-4.58088184,37.47356745,35,990.06,3,0.0353513928448781
"251",18065,18,65,5,0.078121732,-3.55222697,37.47372263,0,79230.11,5,0
"252",18083,18,83,2,0.149622578,-3.319995342,37.47743928,17650.42,104117.16,5,0.169524600939941
"253",18086,18,86,5,0.078121732,-3.04440458,37.47925162,159437.22,2305308.57,12,0.0691609019611635
"254",18038,18,38,5,0.078121732,-3.6156536,37.48233309,1942.29,90395.66,11,0.0214865403936428
