X;LONGITUD;LATITUD;Ind_VP2;Valor_Prod
64;-5.40470441;36.88076763;0.015395587;1.156080348
65;-3.10838867;36.88713958;0.005907594;0.012647942
66;-4.42957972;36.89392649;0.003505185;0.012307975
67;-3.42391088;36.90119925;0.007561955;0.087836878
68;-4.33648163;36.90317629;0.018754515;0.000882095
69;-5.17259873;36.90506622;0.010337375;0.20947928
70;-5.23489912;36.91517638;0.008710664;0.017438153
71;-6.08085356;36.91958656;0.041638971;8.415600315
72;-5.54691548;36.92280153;0.032271752;0.453856961
73;-4.19045032;36.92659688;0.000723027;0.001361681
74;-4.53056286;36.92952633;0.02700914;0.064105565
75;-3.25417487;36.93059265;0.053483045;0.375681855
76;-4.68249864;36.93133959;0.004608843;0.005172215
77;-5.26815266;36.93513981;0.015686108;0.574185052
78;-3.3612733;36.94022178;0.044044648;0.024649839
79;-3.31105821;36.94150881;0.037257262;0.039133847
80;-3.22511081;36.94814817;0.088779996;0.051198634
81;-5.02326403;36.95081213;0.027874715;3.71364299
82;-3.85692302;36.95424126;0.002213976;0.002015487
83;-3.89435636;36.95781442;0.003490637;0.006413482
84;-3.05407988;36.9628613;0.005865474;0.187464828
85;-5.44095231;36.97092584;0.004521967;0.178407652
86;-5.22174386;36.97277038;0.052444162;0.244493458
87;-3.53885018;36.9779234;0.042440871;8.44596752
88;-5.94075872;36.98079112;0.038756803;7.499198161
89;-4.92158172;36.98132441;0.027237576;6.182462443
90;-3.56634078;36.988117;6.23E-03;0.283479164
91;-5.57079248;36.99536489;0.023108106;4.801293971
92;-4.36394556;36.99699553;0.014010164;0.042490584
93;-3.2651633;37.00057381;0.003304856;9.27E-05
94;-5.02113921;37.00211364;0.014957513;1.080748803
95;-3.98605626;37.0037636;0.023982718;0.196059718
96;-4.55804451;37.0142215;0.029925515;7.699731395
97;-5.1500159;37.01441356;0.001900147;0.05082482
98;-4.33741698;37.02928696;0.009778899;0.085756919
99;-3.83009744;37.03037591;0.00543075;0.114165342
100;-2.2011865;37.0402677;0.0050074;0.000600414
101;-4.86223442;37.04734424;0.017745558;8.247032712
102;-5.17565452;37.05037491;0.002895403;0.022065499
103;-5.09744762;37.07107032;0.013752249;0.50932376
104;-3.60152074;37.07448944;0.079468234;0.011976439
105;-5.63458688;37.08163152;0.034538198;10.12691926
106;-3.63448477;37.09360821;0.038519328;2.320923785
107;-4.39031416;37.09717349;0.046250537;0.216182178
108;-4.9827313;37.09724247;0.042566934;0.178790029
109;-3.60605951;37.10477183;0.05013809;0.073090874
110;-4.96082158;37.10715123;0.018568088;0.385779611
111;-3.64587295;37.10823076;0.0295724;0.520085234
112;-4.70087934;37.11336322;0.044607382;0.255446816
113;-5.44898927;37.12022462;0.019301991;13.89463434
114;-4.86861331;37.1240068;0.03352417;0.700484224
115;-4.65776429;37.1257807;0.027553661;0.674083445
116;-3.8211484;37.13262106;0.021304816;0.593208389
117;-6.16284896;37.13384448;0.059090085;0.381543205
118;-4.73195066;37.1355092;0.025693035;0.541002369
119;-3.62690297;37.14031436;0.003244954;0.000749391
120;-3.64581291;37.14885746;0.020629285;0.117930319
121;-5.71962007;37.15558787;0.043328127;3.375871859
122;-5.9277983;37.15743949;0.0329114;0.155491884
123;-3.53735586;37.15945749;0.018875755;0.012512894
124;-3.43875396;37.15955616;0.033324608;0.129773333
125;-3.07267592;37.16037152;0.085329004;0.010013424
126;-3.03620132;37.17247581;0.069186337;0.2604426
